	Precision 	  Recall  	 F 
a       	   87.64% 	  85.71% 	  86.67%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   81.25% 	  81.25% 	  81.25%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.86% 	  89.66% 	  91.23%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   96.67% 	  93.55% 	  95.08%
if4     	   75.76% 	  67.57% 	  71.43%
l       	   89.13% 	  89.13% 	  89.13%
qt      	   93.06% 	  91.78% 	  92.41%
sp      	  100.00% 	  90.00% 	  94.74%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  33.33% 	  50.00%
tv      	   94.05% 	  98.75% 	  96.34%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.25% 	  90.43% 	  91.33% 
