	Precision 	  Recall  	 F 
a       	   77.42% 	  78.26% 	  77.84%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   70.00% 	  46.67% 	  56.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.43% 	  81.82% 	  88.52%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   90.91% 	  81.08% 	  85.71%
if4     	   78.13% 	  65.79% 	  71.43%
l       	   92.68% 	  97.44% 	  95.00%
qt      	   88.39% 	  89.59% 	  88.99%
sp      	   92.86% 	  81.25% 	  86.67%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   91.43% 	  85.33% 	  88.28%
v       	   96.55% 	  96.55% 	  96.55%
Overall 	   88.55% 	  85.56% 	  87.03% 
