	Precision 	  Recall  	 F 
a       	   89.96% 	  91.06% 	  90.51%
ac      	  100.00% 	  83.33% 	  90.91%
ano     	   88.24% 	  88.24% 	  88.24%
dl      	   96.55% 	 100.00% 	  98.25%
if1     	  100.00% 	  82.86% 	  90.63%
if2     	  100.00% 	  60.00% 	  75.00%
if3     	   93.62% 	  81.48% 	  87.13%
if4     	   78.26% 	  85.71% 	  81.82%
l       	   87.36% 	  87.36% 	  87.36%
qt      	   94.10% 	  93.62% 	  93.86%
sp      	   79.17% 	  95.00% 	  86.36%
ti      	   94.12% 	 100.00% 	  96.97%
tl      	  100.00% 	  64.29% 	  78.26%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   96.81% 	  98.78% 	  97.79%
v       	   97.92% 	  97.92% 	  97.92%
Overall 	   92.77% 	  92.33% 	  92.55% 
