	Precision 	  Recall  	 F 
a       	   84.93% 	  86.52% 	  85.71%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  88.00% 	  93.62%
if1     	   97.62% 	  80.39% 	  88.17%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   78.18% 	  64.18% 	  70.49%
if4     	   75.76% 	  56.82% 	  64.94%
l       	   94.17% 	  96.04% 	  95.10%
qt      	   93.30% 	  92.16% 	  92.73%
sp      	  100.00% 	  93.10% 	  96.43%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	   83.33% 	  83.33% 	  83.33%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   95.86% 	  97.89% 	  96.86%
v       	   98.36% 	  98.36% 	  98.36%
Overall 	   91.87% 	  89.23% 	  90.53% 
