	Precision 	  Recall  	 F 
a       	   87.07% 	  90.16% 	  88.59%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   84.62% 	  64.71% 	  73.33%
dl      	   93.75% 	  96.77% 	  95.24%
if1     	   84.21% 	  88.89% 	  86.49%
if2     	   80.00% 	 100.00% 	  88.89%
if3     	   85.25% 	  86.67% 	  85.95%
if4     	   78.05% 	  61.54% 	  68.82%
l       	   85.71% 	  84.71% 	  85.21%
qt      	   95.66% 	  94.46% 	  95.06%
sp      	   84.00% 	 100.00% 	  91.30%
ti      	  100.00% 	  95.45% 	  97.67%
tl      	  100.00% 	  85.71% 	  92.31%
tp      	   60.00% 	  75.00% 	  66.67%
tv      	   95.26% 	  98.77% 	  96.98%
v       	   95.16% 	  95.16% 	  95.16%
Overall 	   91.37% 	  91.72% 	  91.54% 
