	Precision 	  Recall  	 F 
a       	   87.55% 	  92.54% 	  89.98%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   58.82% 	  62.50% 	  60.61%
dl      	   91.67% 	 100.00% 	  95.65%
if1     	   84.31% 	  82.69% 	  83.50%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   85.45% 	  74.60% 	  79.66%
if4     	   76.19% 	  72.73% 	  74.42%
l       	   88.46% 	  83.64% 	  85.98%
qt      	   94.52% 	  94.76% 	  94.64%
sp      	  100.00% 	  96.97% 	  98.46%
ti      	   95.00% 	 100.00% 	  97.44%
tl      	  100.00% 	  40.00% 	  57.14%
tp      	   75.00% 	  66.67% 	  70.59%
tv      	   97.99% 	  95.31% 	  96.63%
v       	   94.44% 	  96.23% 	  95.33%
Overall 	   91.58% 	  90.87% 	  91.22% 
