	Precision 	  Recall  	 F 
a       	   81.60% 	  83.37% 	  82.48%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   87.93% 	  64.56% 	  74.45%
dl      	  100.00% 	  97.83% 	  98.90%
if1     	   94.25% 	  88.65% 	  91.36%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   88.74% 	  78.36% 	  83.23%
if4     	   84.08% 	  74.16% 	  78.81%
l       	   88.84% 	  91.59% 	  90.20%
qt      	   91.64% 	  89.89% 	  90.76%
sp      	   96.43% 	  93.10% 	  94.74%
ti      	  100.00% 	  98.92% 	  99.46%
tl      	  100.00% 	  52.63% 	  68.97%
tp      	   50.00% 	  22.22% 	  30.77%
tv      	   92.53% 	  91.58% 	  92.05%
v       	   98.18% 	  98.78% 	  98.48%
Overall 	   90.93% 	  88.02% 	  89.45% 
