	Precision 	  Recall  	 F 
a       	   72.62% 	  80.26% 	  76.25%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  91.67% 	  95.65%
if1     	   97.56% 	  83.33% 	  89.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   84.00% 	  56.76% 	  67.74%
if4     	   75.00% 	  60.00% 	  66.67%
l       	   88.89% 	  93.02% 	  90.91%
qt      	   87.06% 	  84.95% 	  86.00%
sp      	  100.00% 	  93.10% 	  96.43%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   88.89% 	  95.24% 	  91.95%
v       	   97.30% 	  97.30% 	  97.30%
Overall 	   87.72% 	  83.76% 	  85.69% 
