	Precision 	  Recall  	 F 
a       	   90.80% 	  85.87% 	  88.27%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  62.50% 	  71.43%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   94.29% 	  86.84% 	  90.41%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	  100.00% 	  86.67% 	  92.86%
if4     	   87.10% 	  75.00% 	  80.60%
l       	   90.48% 	  92.68% 	  91.57%
qt      	   91.15% 	  91.96% 	  91.56%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  25.00% 	  40.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   92.50% 	  88.10% 	  90.24%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.72% 	  89.00% 	  90.83% 
