	Precision 	  Recall  	 F 
a       	   83.54% 	  83.13% 	  83.33%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   87.72% 	  63.29% 	  73.53%
dl      	   99.26% 	  97.83% 	  98.54%
if1     	   97.04% 	  88.65% 	  92.66%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   89.58% 	  75.44% 	  81.90%
if4     	   82.39% 	  73.60% 	  77.74%
l       	   92.07% 	  92.48% 	  92.27%
qt      	   90.99% 	  89.25% 	  90.11%
sp      	   96.43% 	  93.10% 	  94.74%
ti      	  100.00% 	  98.92% 	  99.46%
tl      	  100.00% 	  47.37% 	  64.29%
tp      	   66.67% 	  22.22% 	  33.33%
tv      	   91.97% 	  90.56% 	  91.26%
v       	   98.77% 	  98.17% 	  98.47%
Overall 	   91.28% 	  87.45% 	  89.32% 
