	Precision 	  Recall  	 F 
a       	   86.69% 	  87.02% 	  86.86%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   66.67% 	  40.00% 	  50.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.43% 	  79.41% 	  87.10%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   88.00% 	  69.84% 	  77.88%
if4     	   79.07% 	  66.67% 	  72.34%
l       	   90.48% 	  96.20% 	  93.25%
qt      	   93.92% 	  93.69% 	  93.81%
sp      	   92.86% 	  81.25% 	  86.67%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  85.71% 	  92.31%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   97.95% 	  95.60% 	  96.76%
v       	   98.08% 	  98.08% 	  98.08%
Overall 	   92.56% 	  89.83% 	  91.17% 
