	Precision 	  Recall  	 F 
a       	   87.36% 	  83.52% 	  85.39%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   87.50% 	  87.50% 	  87.50%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.59% 	  86.21% 	  89.29%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   96.55% 	  90.32% 	  93.33%
if4     	   72.73% 	  64.86% 	  68.57%
l       	   86.96% 	  86.96% 	  86.96%
qt      	   90.28% 	  89.04% 	  89.66%
sp      	  100.00% 	  90.00% 	  94.74%
ti      	   94.12% 	  94.12% 	  94.12%
tl      	  100.00% 	  33.33% 	  50.00%
tv      	   94.05% 	  98.75% 	  96.34%
v       	  100.00% 	  96.67% 	  98.31%
Overall 	   90.95% 	  88.60% 	  89.76% 
