	Precision 	  Recall  	 F 
a       	   82.93% 	  83.13% 	  83.03%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   91.38% 	  67.95% 	  77.94%
dl      	  100.00% 	  98.55% 	  99.27%
if1     	   95.88% 	  88.11% 	  91.83%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   91.78% 	  78.36% 	  84.54%
if4     	   85.16% 	  74.16% 	  79.28%
l       	   89.87% 	  90.27% 	  90.07%
qt      	   90.33% 	  88.43% 	  89.37%
sp      	   95.69% 	  95.69% 	  95.69%
ti      	   98.90% 	  96.77% 	  97.83%
tl      	  100.00% 	  57.89% 	  73.33%
tp      	   50.00% 	  33.33% 	  40.00%
tv      	   91.67% 	  95.41% 	  93.50%
v       	   98.16% 	  97.56% 	  97.86%
Overall 	   90.92% 	  87.99% 	  89.43% 
