	Precision 	  Recall  	 F 
a       	   88.28% 	  92.54% 	  90.36%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   62.50% 	  62.50% 	  62.50%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   85.45% 	  90.38% 	  87.85%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   87.76% 	  68.25% 	  76.79%
if4     	   87.18% 	  77.27% 	  81.93%
l       	   85.45% 	  85.45% 	  85.45%
qt      	   94.24% 	  94.24% 	  94.24%
sp      	  100.00% 	  96.97% 	  98.46%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  40.00% 	  57.14%
tp      	  100.00% 	  88.89% 	  94.12%
tv      	   98.41% 	  96.48% 	  97.44%
v       	   96.23% 	  96.23% 	  96.23%
Overall 	   92.47% 	  91.41% 	  91.94% 
