	Precision 	  Recall  	 F 
a       	   87.80% 	  90.65% 	  89.20%
ac      	  100.00% 	  83.33% 	  90.91%
ano     	   77.78% 	  82.35% 	  80.00%
dl      	   96.55% 	 100.00% 	  98.25%
if1     	   90.63% 	  82.86% 	  86.57%
if2     	  100.00% 	  60.00% 	  75.00%
if3     	   88.24% 	  83.33% 	  85.71%
if4     	   80.43% 	  88.10% 	  84.09%
l       	   90.70% 	  89.66% 	  90.17%
qt      	   94.85% 	  93.88% 	  94.36%
sp      	   76.00% 	  95.00% 	  84.44%
ti      	   94.12% 	 100.00% 	  96.97%
tl      	  100.00% 	  64.29% 	  78.26%
tp      	   25.00% 	  50.00% 	  33.33%
tv      	   98.37% 	  98.37% 	  98.37%
v       	   97.92% 	  97.92% 	  97.92%
Overall 	   92.34% 	  92.48% 	  92.41% 
