	Precision 	  Recall  	 F 
a       	   92.86% 	  90.81% 	  91.82%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   92.31% 	  75.00% 	  82.76%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.11% 	  87.50% 	  89.74%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   97.67% 	  85.71% 	  91.30%
if4     	   89.47% 	  75.56% 	  81.93%
l       	   92.55% 	  91.58% 	  92.06%
qt      	   95.72% 	  95.48% 	  95.60%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  33.33% 	  50.00%
tp      	   80.00% 	  80.00% 	  80.00%
tv      	   98.00% 	  96.46% 	  97.22%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.44% 	  92.82% 	  94.11% 
