	Precision 	  Recall  	 F 
a       	   85.76% 	  88.53% 	  87.13%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   81.25% 	  81.25% 	  81.25%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   90.32% 	  90.32% 	  90.32%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   94.12% 	  72.73% 	  82.05%
if4     	   80.00% 	  70.59% 	  75.00%
l       	   93.18% 	  89.13% 	  91.11%
qt      	   96.40% 	  95.71% 	  96.06%
sp      	   94.74% 	  75.00% 	  83.72%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  42.86% 	  60.00%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	   97.81% 	  98.89% 	  98.35%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.55% 	  91.67% 	  92.60% 
