	Precision 	  Recall  	 F 
a       	   88.14% 	  91.23% 	  89.66%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   73.33% 	  68.75% 	  70.97%
dl      	   95.65% 	 100.00% 	  97.78%
if1     	   86.79% 	  88.46% 	  87.62%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   86.44% 	  80.95% 	  83.61%
if4     	   83.72% 	  81.82% 	  82.76%
l       	   83.18% 	  80.91% 	  82.03%
qt      	   96.03% 	  95.03% 	  95.53%
sp      	   96.97% 	  96.97% 	  96.97%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  88.89% 	  94.12%
tv      	   97.25% 	  96.88% 	  97.06%
v       	  100.00% 	  96.23% 	  98.08%
Overall 	   92.60% 	  92.10% 	  92.35% 
