	Precision 	  Recall  	 F 
a       	   89.53% 	  83.70% 	  86.52%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  62.50% 	  71.43%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  92.11% 	  95.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	  100.00% 	  86.67% 	  92.86%
if4     	   83.87% 	  72.22% 	  77.61%
l       	   81.82% 	  87.80% 	  84.71%
qt      	   91.93% 	  91.52% 	  91.72%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  25.00% 	  40.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   91.57% 	  90.48% 	  91.02%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.27% 	  88.71% 	  90.45% 
