	Precision 	  Recall  	 F 
a       	   83.88% 	  85.77% 	  84.81%
ac      	  100.00% 	  91.67% 	  95.65%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  92.00% 	  95.83%
if1     	   97.62% 	  80.39% 	  88.17%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   79.63% 	  64.18% 	  71.07%
if4     	   77.14% 	  61.36% 	  68.35%
l       	   94.23% 	  97.03% 	  95.61%
qt      	   94.28% 	  92.89% 	  93.58%
sp      	   96.43% 	  93.10% 	  94.74%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	   85.71% 	 100.00% 	  92.31%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   95.53% 	  97.89% 	  96.70%
v       	   98.36% 	  98.36% 	  98.36%
Overall 	   91.97% 	  89.66% 	  90.80% 
