	Precision 	  Recall  	 F 
a       	   89.64% 	  90.12% 	  89.88%
ac      	   97.62% 	  97.62% 	  97.62%
dl      	  100.00% 	  83.33% 	  90.91%
if1     	   72.73% 	  53.33% 	  61.54%
if3     	   82.95% 	  69.03% 	  75.35%
if4     	   93.18% 	  70.69% 	  80.39%
l       	   92.95% 	  91.34% 	  92.14%
qt      	   99.70% 	  99.70% 	  99.70%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   71.43% 	  76.92% 	  74.07%
tp      	  100.00% 	  76.92% 	  86.96%
tv      	   99.70% 	  99.50% 	  99.60%
v       	   99.19% 	  94.57% 	  96.83%
Overall 	   95.63% 	  94.07% 	  94.84% 
