	Precision 	  Recall  	 F 
a       	   85.31% 	  87.46% 	  86.37%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   90.32% 	  90.32% 	  90.32%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   94.00% 	  71.21% 	  81.03%
if4     	   81.40% 	  68.63% 	  74.47%
l       	   87.78% 	  85.87% 	  86.81%
qt      	   95.90% 	  94.76% 	  95.33%
sp      	   94.74% 	  75.00% 	  83.72%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  42.86% 	  60.00%
tp      	  100.00% 	  90.00% 	  94.74%
tv      	   97.81% 	  98.89% 	  98.35%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.95% 	  90.81% 	  91.87% 
