	Precision 	  Recall  	 F 
a       	   90.06% 	  89.56% 	  89.81%
ac      	   88.89% 	  88.89% 	  88.89%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   60.00% 	  75.00% 	  66.67%
if3     	   73.33% 	  61.11% 	  66.67%
if4     	   90.91% 	  55.56% 	  68.97%
l       	   83.33% 	  90.91% 	  86.96%
qt      	  100.00% 	 100.00% 	 100.00%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	    0.00% 	   0.00% 	   0.00%
tv      	   99.50% 	  99.50% 	  99.50%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   94.56% 	  93.13% 	  93.84% 
