	Precision 	  Recall  	 F 
a       	   81.11% 	  80.72% 	  80.92%
ac      	  100.00% 	  89.47% 	  94.44%
ano     	   84.91% 	  56.96% 	  68.18%
dl      	   98.56% 	  99.28% 	  98.92%
if1     	   97.09% 	  90.27% 	  93.56%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   87.76% 	  75.44% 	  81.13%
if4     	   81.65% 	  72.47% 	  76.79%
l       	   89.43% 	  89.82% 	  89.62%
qt      	   91.56% 	  88.89% 	  90.20%
sp      	   94.92% 	  96.55% 	  95.73%
ti      	  100.00% 	  98.92% 	  99.46%
tl      	  100.00% 	  47.37% 	  64.29%
tp      	   66.67% 	  22.22% 	  33.33%
tv      	   89.97% 	  91.58% 	  90.77%
v       	   98.16% 	  97.56% 	  97.86%
Overall 	   90.46% 	  86.93% 	  88.66% 
