	Precision 	  Recall  	 F 
a       	   89.37% 	  89.37% 	  89.37%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  58.82% 	  68.97%
dl      	  100.00% 	  93.55% 	  96.67%
if1     	   96.88% 	  86.11% 	  91.18%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   79.69% 	  85.00% 	  82.26%
if4     	   76.74% 	  63.46% 	  69.47%
l       	   79.57% 	  87.06% 	  83.15%
qt      	   94.19% 	  93.95% 	  94.07%
sp      	   95.45% 	 100.00% 	  97.67%
ti      	   91.67% 	 100.00% 	  95.65%
tl      	   85.71% 	  85.71% 	  85.71%
tp      	   60.00% 	  75.00% 	  66.67%
tv      	   93.63% 	  96.31% 	  94.95%
v       	   92.06% 	  93.55% 	  92.80%
Overall 	   90.67% 	  90.87% 	  90.77% 
