	Precision 	  Recall  	 F 
a       	   81.25% 	  81.45% 	  81.35%
ac      	   82.35% 	  73.68% 	  77.78%
ano     	   87.50% 	  62.82% 	  73.13%
dl      	  100.00% 	  99.28% 	  99.64%
if1     	   95.38% 	  89.19% 	  92.18%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   90.73% 	  80.12% 	  85.09%
if4     	   83.77% 	  72.47% 	  77.71%
l       	   90.79% 	  91.59% 	  91.19%
qt      	   90.58% 	  88.43% 	  89.49%
sp      	   95.76% 	  97.41% 	  96.58%
ti      	   98.90% 	  96.77% 	  97.83%
tl      	  100.00% 	  63.16% 	  77.42%
tp      	   80.00% 	  44.44% 	  57.14%
tv      	   90.73% 	  94.90% 	  92.77%
v       	   98.77% 	  98.17% 	  98.47%
Overall 	   90.54% 	  87.78% 	  89.13% 
