	Precision 	  Recall  	 F 
a       	   83.57% 	  87.64% 	  85.56%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  92.00% 	  95.83%
if1     	   97.62% 	  80.39% 	  88.17%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   79.63% 	  64.18% 	  71.07%
if4     	   72.97% 	  61.36% 	  66.67%
l       	   93.33% 	  97.03% 	  95.15%
qt      	   94.25% 	  92.40% 	  93.32%
sp      	   96.43% 	  93.10% 	  94.74%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	   85.71% 	 100.00% 	  92.31%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   95.19% 	  97.54% 	  96.35%
v       	   96.77% 	  98.36% 	  97.56%
Overall 	   91.52% 	  89.88% 	  90.69% 
