	Precision 	  Recall  	 F 
a       	   86.36% 	  83.52% 	  84.92%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.86% 	  89.66% 	  91.23%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   96.67% 	  93.55% 	  95.08%
if4     	   77.42% 	  64.86% 	  70.59%
l       	   83.33% 	  86.96% 	  85.11%
qt      	   92.06% 	  89.95% 	  90.99%
sp      	  100.00% 	  90.00% 	  94.74%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  33.33% 	  50.00%
tv      	   93.98% 	  97.50% 	  95.71%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.26% 	  88.91% 	  90.07% 
