	Precision 	  Recall  	 F 
a       	   86.96% 	  86.96% 	  86.96%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  62.50% 	  71.43%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   97.22% 	  92.11% 	  94.59%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	  100.00% 	  86.67% 	  92.86%
if4     	   86.67% 	  72.22% 	  78.79%
l       	   81.82% 	  87.80% 	  84.71%
qt      	   92.79% 	  91.96% 	  92.38%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	  95.45% 	  97.67%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   92.68% 	  90.48% 	  91.57%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.32% 	  89.30% 	  90.79% 
