	Precision 	  Recall  	 F 
a       	   88.33% 	  89.37% 	  88.85%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   90.00% 	  52.94% 	  66.67%
dl      	   96.77% 	  96.77% 	  96.77%
if1     	   91.18% 	  86.11% 	  88.57%
if2     	   80.00% 	 100.00% 	  88.89%
if3     	   82.26% 	  85.00% 	  83.61%
if4     	   65.22% 	  57.69% 	  61.22%
l       	   80.90% 	  84.71% 	  82.76%
qt      	   93.73% 	  94.21% 	  93.97%
sp      	   95.45% 	 100.00% 	  97.67%
ti      	   95.65% 	 100.00% 	  97.78%
tl      	  100.00% 	  85.71% 	  92.31%
tp      	   50.00% 	  75.00% 	  60.00%
tv      	   95.95% 	  97.13% 	  96.54%
v       	   96.67% 	  93.55% 	  95.08%
Overall 	   90.65% 	  90.72% 	  90.69% 
