	Precision 	  Recall  	 F 
a       	   89.60% 	  91.06% 	  90.32%
ac      	  100.00% 	  83.33% 	  90.91%
ano     	   84.21% 	  94.12% 	  88.89%
dl      	   96.55% 	 100.00% 	  98.25%
if1     	   93.75% 	  85.71% 	  89.55%
if2     	  100.00% 	  60.00% 	  75.00%
if3     	   90.00% 	  83.33% 	  86.54%
if4     	   92.68% 	  90.48% 	  91.57%
l       	   87.21% 	  86.21% 	  86.71%
qt      	   93.83% 	  93.11% 	  93.47%
sp      	  100.00% 	  95.00% 	  97.44%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  64.29% 	  78.26%
tp      	   33.33% 	  50.00% 	  40.00%
tv      	   96.77% 	  97.56% 	  97.17%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.21% 	  92.33% 	  92.77% 
