	Precision 	  Recall  	 F 
a       	   66.67% 	  81.58% 	  73.37%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  95.83% 	  97.87%
if1     	   97.56% 	  83.33% 	  89.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   84.00% 	  56.76% 	  67.74%
if4     	   70.00% 	  60.00% 	  64.62%
l       	   86.96% 	  93.02% 	  89.89%
qt      	   88.89% 	  85.44% 	  87.13%
sp      	   96.43% 	  93.10% 	  94.74%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   87.78% 	  94.05% 	  90.80%
v       	   94.74% 	  97.30% 	  96.00%
Overall 	   86.55% 	  84.21% 	  85.37% 
