	Precision 	  Recall  	 F 
a       	   68.60% 	  77.63% 	  72.84%
ac      	  100.00% 	  75.00% 	  85.71%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  95.83% 	  97.87%
if1     	   97.56% 	  83.33% 	  89.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   84.00% 	  56.76% 	  67.74%
if4     	   73.33% 	  62.86% 	  67.69%
l       	   88.89% 	  93.02% 	  90.91%
qt      	   88.50% 	  85.92% 	  87.19%
sp      	   96.43% 	  93.10% 	  94.74%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   87.91% 	  95.24% 	  91.43%
v       	   97.30% 	  97.30% 	  97.30%
Overall 	   87.34% 	  84.06% 	  85.67% 
