	Precision 	  Recall  	 F 
a       	   85.02% 	  87.46% 	  86.22%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   90.00% 	  87.10% 	  88.52%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   92.31% 	  72.73% 	  81.36%
if4     	   83.72% 	  70.59% 	  76.60%
l       	   87.91% 	  86.96% 	  87.43%
qt      	   95.93% 	  95.48% 	  95.70%
sp      	  100.00% 	  75.00% 	  85.71%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  42.86% 	  60.00%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	   98.52% 	  98.52% 	  98.52%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.10% 	  91.03% 	  92.05% 
