	Precision 	  Recall  	 F 
a       	   93.47% 	  90.16% 	  91.78%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   91.67% 	  64.71% 	  75.86%
dl      	  100.00% 	  96.77% 	  98.36%
if1     	   83.78% 	  86.11% 	  84.93%
if2     	   80.00% 	 100.00% 	  88.89%
if3     	   74.32% 	  91.67% 	  82.09%
if4     	   77.78% 	  67.31% 	  72.16%
l       	   81.05% 	  90.59% 	  85.56%
qt      	   95.18% 	  94.46% 	  94.82%
sp      	   91.30% 	 100.00% 	  95.45%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  85.71% 	  92.31%
tp      	   60.00% 	  75.00% 	  66.67%
tv      	   95.16% 	  96.72% 	  95.93%
v       	   93.55% 	  93.55% 	  93.55%
Overall 	   91.61% 	  92.10% 	  91.85% 
