	Precision 	  Recall  	 F 
a       	   87.84% 	  91.06% 	  89.42%
ac      	   83.33% 	  83.33% 	  83.33%
ano     	   82.35% 	  82.35% 	  82.35%
dl      	   96.55% 	 100.00% 	  98.25%
if1     	  100.00% 	  85.71% 	  92.31%
if2     	  100.00% 	  60.00% 	  75.00%
if3     	   90.20% 	  85.19% 	  87.62%
if4     	   89.19% 	  78.57% 	  83.54%
l       	   85.39% 	  87.36% 	  86.36%
qt      	   93.35% 	  93.11% 	  93.23%
sp      	   80.00% 	 100.00% 	  88.89%
ti      	   94.12% 	 100.00% 	  96.97%
tl      	  100.00% 	  64.29% 	  78.26%
tp      	   33.33% 	  50.00% 	  40.00%
tv      	   97.53% 	  96.34% 	  96.93%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.14% 	  91.77% 	  91.95% 
