	Precision 	  Recall  	 F 
a       	   85.23% 	  82.42% 	  83.80%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.59% 	  86.21% 	  89.29%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   96.67% 	  93.55% 	  95.08%
if4     	   80.65% 	  67.57% 	  73.53%
l       	   81.63% 	  86.96% 	  84.21%
qt      	   93.09% 	  92.24% 	  92.66%
sp      	  100.00% 	  90.00% 	  94.74%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  33.33% 	  50.00%
tv      	   95.18% 	  98.75% 	  96.93%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.61% 	  89.67% 	  90.63% 
