	Precision 	  Recall  	 F 
a       	   89.11% 	  89.84% 	  89.47%
ac      	  100.00% 	  83.33% 	  90.91%
ano     	   63.16% 	  70.59% 	  66.67%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   93.55% 	  82.86% 	  87.88%
if2     	  100.00% 	  60.00% 	  75.00%
if3     	   88.68% 	  87.04% 	  87.85%
if4     	   85.71% 	  85.71% 	  85.71%
l       	   87.95% 	  83.91% 	  85.88%
qt      	   94.12% 	  93.88% 	  94.00%
sp      	   76.00% 	  95.00% 	  84.44%
ti      	   94.12% 	 100.00% 	  96.97%
tl      	  100.00% 	  64.29% 	  78.26%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   98.78% 	  98.37% 	  98.57%
v       	   97.92% 	  97.92% 	  97.92%
Overall 	   92.58% 	  91.85% 	  92.22% 
