	Precision 	  Recall  	 F 
a       	   86.35% 	  87.64% 	  86.99%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  44.44% 	  61.54%
dl      	  100.00% 	  92.00% 	  95.83%
if1     	  100.00% 	  82.35% 	  90.32%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   75.93% 	  61.19% 	  67.77%
if4     	   84.38% 	  61.36% 	  71.05%
l       	   96.12% 	  98.02% 	  97.06%
qt      	   93.80% 	  92.65% 	  93.22%
sp      	  100.00% 	  93.10% 	  96.43%
ti      	  100.00% 	  92.86% 	  96.30%
tl      	   83.33% 	  83.33% 	  83.33%
tp      	  100.00% 	  50.00% 	  66.67%
tv      	   95.88% 	  98.24% 	  97.04%
v       	   98.36% 	  98.36% 	  98.36%
Overall 	   92.75% 	  89.95% 	  91.33% 
