	Precision 	  Recall  	 F 
a       	   82.82% 	  83.61% 	  83.21%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   85.45% 	  60.26% 	  70.68%
dl      	   98.55% 	  98.55% 	  98.55%
if1     	   94.74% 	  87.57% 	  91.01%
if2     	  100.00% 	  75.00% 	  85.71%
if3     	   89.54% 	  80.12% 	  84.57%
if4     	   83.23% 	  75.28% 	  79.06%
l       	   91.67% 	  92.48% 	  92.07%
qt      	   92.26% 	  90.16% 	  91.20%
sp      	   96.52% 	  95.69% 	  96.10%
ti      	  100.00% 	  96.77% 	  98.36%
tl      	  100.00% 	  68.42% 	  81.25%
tp      	   60.00% 	  33.33% 	  42.86%
tv      	   92.25% 	  97.19% 	  94.66%
v       	   95.83% 	  98.17% 	  96.99%
Overall 	   91.30% 	  89.01% 	  90.14% 
