	Precision 	  Recall  	 F 
a       	   90.83% 	  91.60% 	  91.22%
ac      	   95.24% 	  95.24% 	  95.24%
dl      	   83.33% 	  83.33% 	  83.33%
if1     	   90.91% 	  66.67% 	  76.92%
if3     	   83.21% 	  73.55% 	  78.08%
if4     	   90.48% 	  65.52% 	  76.00%
l       	   93.04% 	  92.64% 	  92.84%
qt      	   99.40% 	  99.40% 	  99.40%
sp      	   33.33% 	  16.67% 	  22.22%
tl      	   66.67% 	  61.54% 	  64.00%
tp      	  100.00% 	  76.92% 	  86.96%
tv      	   99.60% 	  99.40% 	  99.50%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.79% 	  94.73% 	  95.26% 
