	Precision 	  Recall  	 F 
a       	   92.05% 	  89.34% 	  90.67%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   92.31% 	  75.00% 	  82.76%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   91.89% 	  85.00% 	  88.31%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   97.67% 	  85.71% 	  91.30%
if4     	   85.00% 	  75.56% 	  80.00%
l       	   91.58% 	  91.58% 	  91.58%
qt      	   95.99% 	  96.23% 	  96.11%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  33.33% 	  50.00%
tp      	   80.00% 	  80.00% 	  80.00%
tv      	   98.39% 	  96.46% 	  97.42%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.21% 	  92.67% 	  93.92% 
