	Precision 	  Recall  	 F 
a       	   77.42% 	  78.26% 	  77.84%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   66.67% 	  40.00% 	  50.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.30% 	  78.79% 	  86.67%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   96.30% 	  70.27% 	  81.25%
if4     	   76.47% 	  68.42% 	  72.22%
l       	   90.48% 	  97.44% 	  93.83%
qt      	   88.00% 	  89.59% 	  88.79%
sp      	   86.67% 	  81.25% 	  83.87%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   88.57% 	  82.67% 	  85.52%
v       	   96.55% 	  96.55% 	  96.55%
Overall 	   87.86% 	  84.49% 	  86.14% 
