	Precision 	  Recall  	 F 
a       	   87.50% 	  83.70% 	  85.56%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  62.50% 	  71.43%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   94.29% 	  86.84% 	  90.41%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	  100.00% 	  90.00% 	  94.74%
if4     	   90.00% 	  75.00% 	  81.82%
l       	   90.48% 	  92.68% 	  91.57%
qt      	   91.15% 	  91.96% 	  91.56%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  25.00% 	  40.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   93.67% 	  88.10% 	  90.80%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.57% 	  88.86% 	  90.67% 
