	Precision 	  Recall  	 F 
a       	   84.88% 	  88.53% 	  86.67%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   89.66% 	  83.87% 	  86.67%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   92.16% 	  71.21% 	  80.34%
if4     	   77.78% 	  68.63% 	  72.92%
l       	   90.80% 	  85.87% 	  88.27%
qt      	   95.22% 	  94.76% 	  94.99%
sp      	   94.74% 	  75.00% 	  83.72%
ti      	  100.00% 	  94.12% 	  96.97%
tl      	  100.00% 	  42.86% 	  60.00%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	   98.52% 	  98.52% 	  98.52%
v       	   96.77% 	  95.24% 	  96.00%
Overall 	   92.58% 	  90.52% 	  91.54% 
