	Precision 	  Recall  	 F 
a       	   86.96% 	  86.96% 	  86.96%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   92.31% 	  75.00% 	  82.76%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   94.29% 	  86.84% 	  90.41%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	  100.00% 	  86.67% 	  92.86%
if4     	   84.85% 	  77.78% 	  81.16%
l       	   86.36% 	  92.68% 	  89.41%
qt      	   92.89% 	  93.30% 	  93.10%
sp      	  100.00% 	  90.91% 	  95.24%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  25.00% 	  40.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   96.25% 	  91.67% 	  93.90%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.98% 	  90.49% 	  91.72% 
