	Precision 	  Recall  	 F 
a       	   83.02% 	  84.82% 	  83.91%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   85.00% 	  64.56% 	  73.38%
dl      	  100.00% 	  97.83% 	  98.90%
if1     	   94.25% 	  88.65% 	  91.36%
if2     	  100.00% 	  66.67% 	  80.00%
if3     	   93.10% 	  78.95% 	  85.44%
if4     	   80.98% 	  74.16% 	  77.42%
l       	   88.26% 	  89.82% 	  89.04%
qt      	   92.49% 	  90.80% 	  91.64%
sp      	   95.58% 	  93.10% 	  94.32%
ti      	  100.00% 	  98.92% 	  99.46%
tl      	  100.00% 	  42.11% 	  59.26%
tp      	   50.00% 	  22.22% 	  30.77%
tv      	   91.88% 	  92.35% 	  92.11%
v       	   97.55% 	  96.95% 	  97.25%
Overall 	   91.18% 	  88.32% 	  89.73% 
