	Precision 	  Recall  	 F 
a       	   90.06% 	  91.50% 	  90.77%
ac      	   95.24% 	  95.24% 	  95.24%
dl      	   83.33% 	  83.33% 	  83.33%
if1     	   75.00% 	  60.00% 	  66.67%
if3     	   81.95% 	  70.32% 	  75.69%
if4     	   90.70% 	  67.24% 	  77.23%
l       	   93.42% 	  92.21% 	  92.81%
qt      	   99.40% 	  99.40% 	  99.40%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   66.67% 	  61.54% 	  64.00%
tp      	  100.00% 	  76.92% 	  86.96%
tv      	   99.70% 	  99.19% 	  99.44%
v       	   98.45% 	  98.45% 	  98.45%
Overall 	   95.49% 	  94.40% 	  94.94% 
